split,scene,family,condition,degradation,true_siting,base_kernel,mode,mae,psnr,edge_mae,smooth_mae,phase_px,phase_abs_px,alias_px,spread_delta_px,bleed_mass,ringing_mass
development,dev_00103_sine_luma_only,sine,luma_only,box,left,bicubic_catrom,algo6,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,box,left,bicubic_sharp,plain,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,box,left,bicubic_sharp,algo6,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,box,left,bicubic_mitchell,plain,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,box,left,bicubic_mitchell,algo6,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,box,left,spline16,plain,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,box,left,spline16,algo6,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,box,left,spline36,plain,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,box,left,spline36,algo6,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,box,left,lanczos2,plain,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,box,left,lanczos2,algo6,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,box,left,lanczos3,plain,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,box,left,lanczos3,algo6,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,box,left,lanczos4,plain,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,box,left,lanczos4,algo6,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,box,left,jinc2,plain,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,box,left,jinc2,algo6,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,box,left,jinc3,plain,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,box,left,jinc3,algo6,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,box,left,jinc4,plain,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,box,left,jinc4,algo6,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,triangle,left,bilinear,plain,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,triangle,left,bilinear,algo6,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,triangle,left,bicubic_catrom,plain,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,triangle,left,bicubic_catrom,algo6,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,triangle,left,bicubic_sharp,plain,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,triangle,left,bicubic_sharp,algo6,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,triangle,left,bicubic_mitchell,plain,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,triangle,left,bicubic_mitchell,algo6,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,triangle,left,spline16,plain,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,triangle,left,spline16,algo6,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,triangle,left,spline36,plain,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,triangle,left,spline36,algo6,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
development,dev_00103_sine_luma_only,sine,luma_only,triangle,left,lanczos2,plain,0.0,150.0,0.0,0.0,nan,nan,nan,nan,nan,nan
